0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA,29/08/2025
5.93,5.30,5.45,6.17,5.99,5.98,-,6.74,-,6.07,-,8.41,-,9.27,6.07,5.30,5.48,-,-,5.92,SOLES,Corporativos,29/08/2025
6.12,-,6.50,6.30,4.78,6.18,-,6.53,-,-,-,8.55,-,-,-,-,-,-,-,6.16,SOLES,Descuentos,29/08/2025
5.76,-,5.47,8.00,7.20,4.86,-,5.01,-,-,-,10.64,-,-,-,-,4.91,-,-,5.48,SOLES,Préstamos hasta 30 días,29/08/2025
5.54,-,6.03,5.61,7.29,5.03,-,5.99,-,6.30,-,10.05,-,11.18,6.58,-,6.28,-,-,5.96,SOLES,Préstamos de 31 a 90 días,29/08/2025
6.12,5.30,5.56,6.48,6.44,5.80,-,5.89,-,5.94,-,8.33,-,7.69,5.19,-,5.86,-,-,6.55,SOLES,Préstamos de 91 a 180 días,29/08/2025
5.25,-,4.78,-,6.23,4.79,-,-,-,5.86,-,10.80,-,6.50,-,-,5.08,-,-,4.95,SOLES,Préstamos de 181 a 360 días,29/08/2025
6.41,-,5.64,-,8.09,6.66,-,7.71,-,-,-,8.03,-,11.20,-,5.30,6.49,-,-,6.39,SOLES,Préstamos a más de 360 días,29/08/2025
7.71,9.83,7.91,7.22,7.66,7.42,-,7.34,-,6.82,-,9.62,-,11.19,-,-,8.40,-,-,7.79,SOLES,Grandes Empresas,29/08/2025
8.17,-,8.58,7.88,8.58,7.07,-,7.76,-,7.29,-,9.09,-,-,-,-,-,-,-,8.06,SOLES,Descuentos,29/08/2025
7.28,-,8.76,5.49,9.19,7.00,-,6.32,-,5.95,-,11.06,-,-,-,-,-,-,-,8.00,SOLES,Préstamos hasta 30 días,29/08/2025
7.50,11.30,7.91,8.14,9.63,7.79,-,7.72,-,7.45,-,9.46,-,12.00,-,-,-,-,-,7.94,SOLES,Préstamos de 31 a 90 días,29/08/2025
7.71,9.00,7.08,6.11,7.68,7.59,-,6.38,-,6.90,-,9.45,-,11.08,-,-,8.40,-,-,7.45,SOLES,Préstamos de 91 a 180 días,29/08/2025
7.83,-,6.77,7.78,9.84,8.29,-,6.08,-,5.32,-,7.77,-,-,-,-,-,-,-,7.18,SOLES,Préstamos de 181 a 360 días,29/08/2025
7.63,-,8.71,-,5.83,7.19,-,6.90,-,-,-,10.03,-,-,-,-,-,-,-,7.82,SOLES,Préstamos a más de 360 días,29/08/2025
11.62,11.38,10.91,10.02,11.85,9.33,-,10.33,-,-,-,9.65,-,12.63,-,-,-,-,-,10.92,SOLES,Medianas Empresas,29/08/2025
10.03,13.00,10.60,9.50,15.48,9.73,-,9.72,-,-,-,10.25,-,-,-,-,-,-,-,10.46,SOLES,Descuentos,29/08/2025
10.97,-,11.91,14.00,9.26,9.45,-,10.17,-,-,-,8.97,-,-,-,-,-,-,-,11.33,SOLES,Préstamos hasta 30 días,29/08/2025
12.60,10.00,10.59,9.53,12.10,9.16,-,10.11,-,-,-,9.03,-,13.00,-,-,-,-,-,10.98,SOLES,Préstamos de 31 a 90 días,29/08/2025
11.87,10.50,11.26,9.39,11.64,9.38,-,10.65,-,-,-,-,-,12.52,-,-,-,-,-,10.96,SOLES,Préstamos de 91 a 180 días,29/08/2025
11.35,12.37,11.02,7.50,12.70,8.78,-,9.26,-,-,-,-,-,-,-,-,-,-,-,10.96,SOLES,Préstamos de 181 a 360 días,29/08/2025
11.57,-,11.10,-,8.61,9.11,-,13.48,-,-,-,-,-,-,-,-,-,-,-,11.21,SOLES,Préstamos a más de 360 días,29/08/2025
16.39,15.55,21.09,-,16.14,12.72,-,15.51,25.55,9.87,-,-,-,13.14,-,-,-,30.12,-,20.07,SOLES,Pequeñas Empresas,29/08/2025
10.48,-,14.20,-,16.55,10.11,-,11.08,-,-,-,-,-,-,-,-,-,-,-,13.28,SOLES,Descuentos,29/08/2025
18.98,-,11.27,-,-,10.31,-,9.40,62.98,-,-,-,-,-,-,-,-,-,-,13.31,SOLES,Préstamos hasta 30 días,29/08/2025
17.20,15.00,10.67,-,13.84,10.30,-,10.99,50.02,-,-,-,-,-,-,-,-,-,-,14.03,SOLES,Préstamos de 31 a 90 días,29/08/2025
15.79,7.40,8.49,-,12.33,8.36,-,9.93,37.20,11.00,-,-,-,13.24,-,-,-,52.98,-,12.96,SOLES,Préstamos de 91 a 180 días,29/08/2025
16.73,16.21,10.35,-,-,10.62,-,16.29,31.90,-,-,-,-,-,-,-,-,39.82,-,26.33,SOLES,Préstamos de 181 a 360 días,29/08/2025
16.49,18.09,23.45,-,14.63,14.14,-,16.97,23.43,9.00,-,-,-,13.00,-,-,-,29.64,-,20.83,SOLES,Préstamos a más de 360 días,29/08/2025
18.81,-,45.28,38.87,21.48,14.48,-,17.66,50.41,-,20.79,-,-,-,-,-,-,81.35,-,67.69,SOLES,Microempresas,29/08/2025
32.43,-,55.05,38.87,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,39.63,SOLES,Tarjetas de Crédito,29/08/2025
10.45,-,25.94,-,21.48,-,-,14.27,-,-,-,-,-,-,-,-,-,-,-,17.24,SOLES,Descuentos,29/08/2025
17.25,-,-,-,-,-,-,-,52.13,-,-,-,-,-,-,-,-,39.14,-,50.96,SOLES,Préstamos Revolventes,29/08/2025
23.99,-,-,-,-,-,-,-,64.54,-,-,-,-,-,-,-,-,-,-,25.88,SOLES,Préstamos a cuota fija hasta 30 días,29/08/2025
23.40,-,-,-,-,-,-,-,78.89,-,-,-,-,-,-,-,-,111.94,-,69.26,SOLES,Préstamos a cuota fija de 31 a 90 días,29/08/2025
21.75,-,-,-,-,-,-,10.00,70.89,-,-,-,-,-,-,-,-,111.46,-,109.85,SOLES,Préstamos a cuota fija de 91 a 180 días,29/08/2025
22.50,-,-,-,-,-,-,-,61.22,-,-,-,-,-,-,-,-,55.59,-,58.92,SOLES,Préstamos a cuota fija de 181 a 360 días,29/08/2025
17.70,-,45.71,-,-,14.48,-,21.14,38.10,-,20.79,-,-,-,-,-,-,36.54,-,36.08,SOLES,Préstamos a cuota fija a más de 360 días,29/08/2025
51.24,15.71,59.74,37.66,25.28,47.00,-,57.23,55.94,28.53,85.17,-,80.40,57.07,-,-,-,36.29,45.83,57.57,SOLES,Consumo,29/08/2025
72.43,33.26,69.79,46.44,60.41,58.86,-,64.45,-,33.00,94.45,-,100.09,-,-,-,-,-,69.96,72.07,SOLES,Tarjetas de Crédito,29/08/2025
12.21,-,-,-,-,-,-,-,61.03,-,-,-,-,-,-,-,-,85.52,-,13.22,SOLES,Préstamos Revolventes,29/08/2025
12.59,-,12.13,-,11.88,11.18,-,-,-,-,-,-,-,-,-,-,-,-,-,12.35,SOLES,Préstamos no Revolventes para automóviles,29/08/2025
27.30,34.11,82.67,18.96,10.51,25.34,-,21.08,64.84,-,32.09,-,54.74,58.29,-,-,-,52.73,-,73.46,SOLES,Préstamos no Revolventes para libre disponibilidad hasta 360 días,29/08/2025
19.29,15.54,17.25,16.13,15.92,17.82,-,17.81,44.36,15.30,27.03,-,30.21,57.04,-,-,-,35.32,42.65,22.84,SOLES,Préstamos no Revolventes para libre disponibilidad a más de 360 días,29/08/2025
-,52.18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52.18,SOLES,Créditos pignoraticios,29/08/2025
