0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA,31/07/2025
5.75,5.09,5.51,6.50,5.68,5.53,s.i.,5.59,-,5.86,-,8.05,-,9.90,5.25,5.83,5.36,-,-,5.66,SOLES,Corporativos,31/07/2025
6.13,-,6.29,7.30,4.80,6.21,s.i.,6.41,-,-,-,8.75,-,-,-,-,-,-,-,6.08,SOLES,Descuentos,31/07/2025
5.67,-,5.56,-,7.20,4.86,s.i.,5.16,-,5.52,-,9.69,-,-,-,-,4.85,-,-,5.52,SOLES,Préstamos hasta 30 días,31/07/2025
5.24,5.04,6.28,6.96,7.19,5.72,s.i.,6.69,-,5.63,-,10.22,-,11.00,7.02,-,6.18,-,-,6.05,SOLES,Préstamos de 31 a 90 días,31/07/2025
6.32,5.30,5.49,6.04,6.49,5.32,s.i.,5.03,-,6.02,-,8.33,-,8.93,4.78,6.85,5.30,-,-,5.74,SOLES,Préstamos de 91 a 180 días,31/07/2025
5.49,-,4.81,-,5.62,5.01,s.i.,-,-,6.73,-,-,-,6.50,-,-,5.08,-,-,4.90,SOLES,Préstamos de 181 a 360 días,31/07/2025
6.33,-,5.77,-,5.37,6.21,s.i.,5.94,-,-,-,7.24,-,11.20,-,5.30,7.93,-,-,6.01,SOLES,Préstamos a más de 360 días,31/07/2025
7.86,9.00,8.00,5.97,7.83,7.78,s.i.,7.41,-,6.87,-,9.39,-,10.95,-,-,8.40,-,-,7.81,SOLES,Grandes Empresas,31/07/2025
8.46,-,8.75,6.82,8.29,7.12,s.i.,7.46,-,7.32,-,9.65,-,-,-,-,-,-,-,8.05,SOLES,Descuentos,31/07/2025
