0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
17.97,-,46.43,-,-,-,-,21.37,53.48,-,22.28,-,-,-,-,-,-,36.44,-,37.54,SOLES,Préstamos a cuota fija a más de 360 días,30/09/2025
47.63,14.94,58.70,39.62,25.34,46.42,-,56.73,55.68,24.12,81.02,-,78.65,55.00,-,-,-,36.62,45.47,55.60,SOLES,Consumo,30/09/2025
72.92,32.55,69.50,49.40,60.97,58.75,-,65.63,-,32.99,91.41,-,99.42,-,-,-,-,-,69.20,72.00,SOLES,Tarjetas de Crédito,30/09/2025
11.85,-,-,-,-,-,-,-,60.98,-,-,-,-,-,-,-,-,85.73,-,12.86,SOLES,Préstamos Revolventes,30/09/2025
12.47,-,12.00,-,11.69,11.14,-,-,-,-,-,-,-,-,-,-,-,-,-,12.22,SOLES,Préstamos no Revolventes para automóviles,30/09/2025
24.71,32.44,86.37,19.25,10.90,26.19,-,21.35,66.01,15.00,30.81,-,54.03,59.28,-,-,-,52.77,-,74.57,SOLES,Préstamos no Revolventes para libre disponibilidad hasta 360 días,30/09/2025
19.21,14.77,16.87,15.96,15.52,18.16,-,17.60,43.25,15.11,26.00,-,30.76,54.89,-,-,-,35.32,42.30,22.17,SOLES,Préstamos no Revolventes para libre disponibilidad a más de 360 días,30/09/2025
-,50.91,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50.91,SOLES,Créditos pignoraticios,30/09/2025
7.74,9.54,8.03,8.98,8.32,7.70,-,7.67,16.89,7.17,-,-,-,-,-,-,-,-,11.00,7.92,SOLES,Hipotecarios,30/09/2025
7.74,9.54,8.03,8.98,8.32,7.70,-,7.67,16.89,7.17,-,-,-,-,-,-,-,-,11.00,7.92,SOLES,Préstamos hipotecarios para vivienda,30/09/2025
