0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA,30/06/2025
5.80,5.05,5.81,6.84,6.25,5.24,6.24,5.55,-,5.47,-,9.75,-,12.55,5.37,6.85,5.15,-,-,5.77,SOLES,Corporativos,30/06/2025
6.79,-,6.24,7.40,4.04,5.74,-,6.34,-,-,-,8.39,-,-,-,-,-,-,-,6.09,SOLES,Descuentos,30/06/2025
5.41,-,5.56,-,-,5.65,-,4.83,-,5.31,-,11.35,-,-,-,-,4.82,-,-,5.48,SOLES,Préstamos hasta 30 días,30/06/2025
5.18,-,5.78,7.13,7.22,6.28,-,5.58,-,6.65,-,9.67,-,11.18,7.73,-,9.14,-,-,6.28,SOLES,Préstamos de 31 a 90 días,30/06/2025
5.97,5.05,5.70,5.53,6.43,5.01,-,4.95,-,6.24,-,8.66,-,-,4.82,6.85,5.26,-,-,5.35,SOLES,Préstamos de 91 a 180 días,30/06/2025
5.76,-,6.26,-,6.93,5.04,6.44,8.40,-,4.92,-,-,-,13.00,-,-,4.98,-,-,5.63,SOLES,Préstamos de 181 a 360 días,30/06/2025
6.43,-,6.00,-,6.44,6.78,5.70,-,-,-,-,10.80,-,-,-,-,-,-,-,6.23,SOLES,Préstamos a más de 360 días,30/06/2025
7.65,9.22,7.99,6.60,8.44,7.60,6.62,7.51,-,7.40,-,9.14,-,11.52,-,-,8.25,-,-,7.75,SOLES,Grandes Empresas,30/06/2025
8.34,51.11,8.83,7.13,8.26,7.67,-,7.69,-,7.33,-,9.55,-,-,-,-,-,-,-,8.19,SOLES,Descuentos,30/06/2025
8.04,-,8.86,5.65,10.25,7.60,6.05,5.48,-,-,-,10.52,-,-,-,-,-,-,-,8.00,SOLES,Préstamos hasta 30 días,30/06/2025
6.96,-,8.24,6.86,10.24,8.27,6.85,7.30,-,9.33,-,7.89,-,12.44,-,-,-,-,-,7.62,SOLES,Préstamos de 31 a 90 días,30/06/2025
7.81,5.90,7.31,6.20,8.75,7.23,-,7.85,-,6.05,-,9.41,-,11.71,-,-,8.25,-,-,7.50,SOLES,Préstamos de 91 a 180 días,30/06/2025
8.56,-,7.31,8.84,6.83,8.27,-,6.64,-,6.15,-,10.35,-,10.85,-,-,-,-,-,7.70,SOLES,Préstamos de 181 a 360 días,30/06/2025
7.53,-,7.58,5.70,7.03,7.06,-,7.28,-,-,-,-,-,-,-,-,-,-,-,7.38,SOLES,Préstamos a más de 360 días,30/06/2025
