0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,MONEDA,categoria,FECHA
BBVA,Bancom,Crédito,Pichincha,BIF,Scotiabank,Citibank,Interbank,Mibanco,GNB,Falabella,Santander,Ripley,Alfin,ICBC,Bank of China,BCI,Compartamos,Santander Cons. Bank,Promedio,SOLES,CATEGORIA,31/10/2025
5.12,5.01,5.39,6.65,6.45,5.58,6.21,6.38,-,6.03,-,8.79,-,11.39,5.09,5.30,5.53,-,-,5.68,SOLES,Corporativos,31/10/2025
5.89,-,6.27,5.10,5.04,6.68,-,6.55,-,-,-,7.73,-,-,7.30,-,-,-,-,6.14,SOLES,Descuentos,31/10/2025
4.86,-,5.38,7.30,8.05,4.88,-,5.49,-,5.01,-,6.60,-,-,-,-,4.70,-,-,5.24,SOLES,Préstamos hasta 30 días,31/10/2025
5.81,5.01,5.27,6.69,7.02,6.51,-,6.33,-,6.38,-,6.62,-,9.82,6.97,-,6.90,-,-,5.91,SOLES,Préstamos de 31 a 90 días,31/10/2025
5.79,5.00,6.12,5.33,6.88,5.67,-,6.15,-,5.92,-,9.45,-,12.42,4.46,6.80,7.30,-,-,6.46,SOLES,Préstamos de 91 a 180 días,31/10/2025
4.94,-,5.06,6.70,7.63,4.80,6.21,7.99,-,6.07,-,-,-,-,-,4.55,4.71,-,-,5.00,SOLES,Préstamos de 181 a 360 días,31/10/2025
5.21,-,5.26,7.30,7.07,6.19,-,6.58,-,-,-,10.35,-,-,-,-,-,-,-,6.24,SOLES,Préstamos a más de 360 días,31/10/2025
7.68,8.26,7.83,7.01,7.71,7.40,-,7.51,-,7.18,-,8.09,-,10.56,-,-,8.35,-,-,7.71,SOLES,Grandes Empresas,31/10/2025
8.01,-,8.17,7.28,7.47,7.43,-,7.68,-,7.34,-,8.82,-,-,-,-,-,-,-,7.90,SOLES,Descuentos,31/10/2025
7.16,-,9.14,6.40,7.62,7.73,-,7.38,-,5.95,-,9.05,-,-,-,-,-,-,-,8.12,SOLES,Préstamos hasta 30 días,31/10/2025
7.62,-,7.82,7.31,7.93,7.48,-,7.31,-,8.02,-,9.90,-,12.00,-,-,8.35,-,-,7.74,SOLES,Préstamos de 31 a 90 días,31/10/2025
7.68,-,7.55,5.99,9.01,7.48,-,6.99,-,6.44,-,6.54,-,10.82,-,-,-,-,-,7.58,SOLES,Préstamos de 91 a 180 días,31/10/2025
6.87,7.95,6.96,8.77,12.43,8.41,-,6.46,-,8.10,-,10.35,-,10.00,-,-,-,-,-,7.26,SOLES,Préstamos de 181 a 360 días,31/10/2025
7.67,8.50,7.17,6.57,6.84,6.39,-,7.40,-,-,-,8.25,-,10.00,-,-,-,-,-,7.35,SOLES,Préstamos a más de 360 días,31/10/2025
11.56,11.90,10.38,7.75,13.14,9.57,-,9.74,-,-,-,7.02,-,12.40,-,-,-,-,-,10.59,SOLES,Medianas Empresas,31/10/2025
9.67,11.37,10.54,-,15.27,10.00,-,9.65,-,-,-,10.46,-,-,-,-,-,-,-,10.43,SOLES,Descuentos,31/10/2025
11.77,-,11.27,9.12,12.10,9.77,-,8.53,-,-,-,-,-,-,-,-,-,-,-,11.04,SOLES,Préstamos hasta 30 días,31/10/2025
13.32,9.25,9.72,7.81,12.13,9.81,-,8.71,-,-,-,7.00,-,13.00,-,-,-,-,-,10.06,SOLES,Préstamos de 31 a 90 días,31/10/2025
11.73,14.00,10.48,6.90,11.73,9.45,-,8.80,-,-,-,-,-,12.53,-,-,-,-,-,10.60,SOLES,Préstamos de 91 a 180 días,31/10/2025
12.05,12.00,10.16,7.70,11.15,9.96,-,8.48,-,-,-,-,-,11.90,-,-,-,-,-,10.94,SOLES,Préstamos de 181 a 360 días,31/10/2025
11.30,-,10.88,-,10.21,9.09,-,12.45,-,-,-,-,-,11.50,-,-,-,-,-,11.09,SOLES,Préstamos a más de 360 días,31/10/2025
15.53,17.61,20.55,-,18.43,12.63,-,15.47,25.27,10.29,27.01,-,-,12.32,-,-,-,29.85,-,19.83,SOLES,Pequeñas Empresas,31/10/2025
9.43,-,14.15,-,19.38,9.96,-,11.24,-,9.00,-,-,-,-,-,-,-,-,-,13.40,SOLES,Descuentos,31/10/2025
18.67,-,9.69,-,12.00,10.51,-,-,34.06,-,-,-,-,-,-,-,-,-,-,12.81,SOLES,Préstamos hasta 30 días,31/10/2025
17.18,12.74,10.71,-,14.37,9.37,-,10.69,46.14,-,-,-,-,12.00,-,-,-,-,-,14.77,SOLES,Préstamos de 31 a 90 días,31/10/2025
15.12,7.76,10.47,-,11.62,8.56,-,10.65,35.36,10.50,-,-,-,12.36,-,-,-,48.99,-,15.03,SOLES,Préstamos de 91 a 180 días,31/10/2025
16.45,16.25,10.16,-,11.00,8.93,-,17.00,30.44,-,-,-,-,-,-,-,-,37.97,-,25.61,SOLES,Préstamos de 181 a 360 días,31/10/2025
15.48,18.40,22.39,-,11.40,13.89,-,16.82,23.62,-,27.01,-,-,-,-,-,-,29.39,-,20.28,SOLES,Préstamos a más de 360 días,31/10/2025
19.52,27.00,45.68,28.86,23.85,22.50,-,18.74,57.83,-,29.51,-,-,-,-,-,-,80.68,38.00,71.29,SOLES,Microempresas,31/10/2025
34.17,-,53.73,28.86,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,38.91,SOLES,Tarjetas de Crédito,31/10/2025
7.29,-,24.86,-,23.85,-,-,14.34,-,-,-,-,-,-,-,-,-,-,-,14.80,SOLES,Descuentos,31/10/2025
17.27,-,-,-,-,-,-,-,55.87,-,-,-,-,-,-,-,-,39.33,-,54.91,SOLES,Préstamos Revolventes,31/10/2025
17.63,-,-,-,-,-,-,-,78.03,-,-,-,-,-,-,-,-,94.71,-,18.83,SOLES,Préstamos a cuota fija hasta 30 días,31/10/2025
24.07,-,-,-,-,-,-,-,78.05,-,-,-,-,-,-,-,-,112.39,-,82.13,SOLES,Préstamos a cuota fija de 31 a 90 días,31/10/2025
17.58,-,25.41,-,-,-,-,-,72.03,-,-,-,-,-,-,-,-,111.36,-,109.93,SOLES,Préstamos a cuota fija de 91 a 180 días,31/10/2025
